03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:22:01.752       dream.log  INFO REQ 69 GET /static/images/player_095186.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.753       dream.log  WARN REQ 69 404 in 109 μs
03.01.26 20:22:01.753       dream.log  INFO REQ 70 GET /static/images/player_095916.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.753       dream.log  WARN REQ 70 404 in 68 μs
03.01.26 20:22:01.754       dream.log  INFO REQ 71 GET /static/images/player_095911.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.754       dream.log  WARN REQ 71 404 in 66 μs
03.01.26 20:22:01.754       dream.log  INFO REQ 72 GET /static/images/team_07.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.754       dream.log  INFO REQ 73 GET /static/images/player_096136.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.754       dream.log  INFO REQ 74 GET /static/images/player_095189.png ::1:59162 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.754       dream.log  WARN REQ 73 404 in 58 μs
03.01.26 20:22:01.754       dream.log  WARN REQ 74 404 in 87 μs
03.01.26 20:22:01.754       dream.log  INFO REQ 75 GET /static/images/player_095972.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
